dataset	tissue	cluster	hgnc	species_id	module	log2fc
tabib2021	skin	endothelial_vascular	F2R			0.931
tabib2021	skin	endothelial_vascular	TBCA			0.523
tabib2021	skin	endothelial_vascular	TMEM167A			0.480
tabib2021	skin	endothelial_vascular	VCAN			1.294
tabib2021	skin	endothelial_vascular	EPB41L4A-AS1			-0.612
tabib2021	skin	endothelial_vascular	CCDC112			-0.939
tabib2021	skin	endothelial_vascular	LEAP2			0.660
tabib2021	skin	endothelial_vascular	VDAC1			0.477
tabib2021	skin	endothelial_vascular	NDUFA2			0.317
tabib2021	skin	endothelial_vascular	TAF7			-0.910
tabib2021	skin	endothelial_vascular	NR3C1			-0.419
tabib2021	skin	endothelial_vascular	SPINK5			1.720
tabib2021	skin	endothelial_vascular	ADRB2			-0.790
tabib2021	skin	endothelial_vascular	SPARC			0.786
tabib2021	skin	endothelial_vascular	ATOX1			0.434
tabib2021	skin	endothelial_vascular	LCP2			1.133
tabib2021	skin	endothelial_vascular	ATP6V0E1			0.355
tabib2021	skin	endothelial_vascular	KIAA1191			0.552
tabib2021	skin	endothelial_vascular	F12			3.042
tabib2021	skin	endothelial_vascular	DBN1			0.915
tabib2021	skin	endothelial_vascular	PDLIM7			0.932
tabib2021	skin	endothelial_vascular	MGAT4B			0.388
tabib2021	skin	endothelial_vascular	SERPINB6			0.433
tabib2021	skin	endothelial_vascular	NOL7			-0.286
tabib2021	skin	endothelial_vascular	RBM24			-1.417
tabib2021	skin	endothelial_vascular	HLA-E			-0.463
tabib2021	skin	endothelial_vascular	BAG6			0.343
tabib2021	skin	endothelial_vascular	HSPA1L			-1.197
tabib2021	skin	endothelial_vascular	C2			1.758
tabib2021	skin	endothelial_vascular	GPSM3			0.751
tabib2021	skin	endothelial_vascular	HLA-DPB1			-0.725
tabib2021	skin	endothelial_vascular	BAK1			0.840
tabib2021	skin	endothelial_vascular	SMIM29			0.408
tabib2021	skin	endothelial_vascular	SNRPC			0.391
tabib2021	skin	endothelial_vascular	CDKN1A			-0.451
tabib2021	skin	endothelial_vascular	TMEM217			1.231
tabib2021	skin	endothelial_vascular	MDFI			1.922
tabib2021	skin	endothelial_vascular	RRP36			0.649
tabib2021	skin	endothelial_vascular	TMEM63B			0.572
tabib2021	skin	endothelial_vascular	SLC29A1			0.526
tabib2021	skin	endothelial_vascular	CYP39A1			1.253
tabib2021	skin	endothelial_vascular	CGAS			-0.442
tabib2021	skin	endothelial_vascular	SLC17A5			0.491
tabib2021	skin	endothelial_vascular	COX7A2			0.417
tabib2021	skin	endothelial_vascular	TENT5A			-0.731
tabib2021	skin	endothelial_vascular	TBX18			-1.276
tabib2021	skin	endothelial_vascular	PNISR			-0.426
tabib2021	skin	endothelial_vascular	CENPW			1.080
tabib2021	skin	endothelial_vascular	LAMA2			-1.082
tabib2021	skin	endothelial_vascular	MAP7			-1.470
tabib2021	skin	endothelial_vascular	NHSL1			1.469
tabib2021	skin	endothelial_vascular	ABRACL			1.206
tabib2021	skin	endothelial_vascular	SYNE1			-0.704
tabib2021	skin	endothelial_vascular	DYNLT1			0.462
tabib2021	skin	endothelial_vascular	RNASET2			-0.886
tabib2021	skin	endothelial_vascular	FAM120B			-0.768
tabib2021	skin	endothelial_vascular	PRKAR1B			0.636
tabib2021	skin	endothelial_vascular	AC147651.4			-1.334
tabib2021	skin	endothelial_vascular	PSMG3			0.376
tabib2021	skin	endothelial_vascular	TTYH3			1.205
tabib2021	skin	endothelial_vascular	AP5Z1			0.599
tabib2021	skin	endothelial_vascular	RADIL			-2.099
tabib2021	skin	endothelial_vascular	ACTB			0.894
tabib2021	skin	endothelial_vascular	FSCN1			0.771
tabib2021	skin	endothelial_vascular	PMS2			0.846
tabib2021	skin	endothelial_vascular	RAC1			-0.241
tabib2021	skin	endothelial_vascular	RPA3			0.535
tabib2021	skin	endothelial_vascular	NDUFA4			0.276
tabib2021	skin	endothelial_vascular	ARL4A			0.751
tabib2021	skin	endothelial_vascular	WIPF3			-3.302
tabib2021	skin	endothelial_vascular	DPY19L1			1.074
tabib2021	skin	endothelial_vascular	AC018647.1			-1.492
tabib2021	skin	endothelial_vascular	YKT6			0.509
tabib2021	skin	endothelial_vascular	PPIA			0.461
tabib2021	skin	endothelial_vascular	GRB10			0.468
tabib2021	skin	endothelial_vascular	SEC61G			0.987
tabib2021	skin	endothelial_vascular	STX1A			1.759
tabib2021	skin	endothelial_vascular	ABCB1			-0.867
tabib2021	skin	endothelial_vascular	RUNDC3B			-1.054
tabib2021	skin	endothelial_vascular	PON2			0.596
tabib2021	skin	endothelial_vascular	SEM1			0.501
tabib2021	skin	endothelial_vascular	ATP5MF			0.864
tabib2021	skin	endothelial_vascular	MEPCE			-0.468
tabib2021	skin	endothelial_vascular	AGFG2			0.569
tabib2021	skin	endothelial_vascular	EPHB4			0.536
tabib2021	skin	endothelial_vascular	PLOD3			0.538
tabib2021	skin	endothelial_vascular	SH2B2			1.049
tabib2021	skin	endothelial_vascular	LRWD1			0.754
tabib2021	skin	endothelial_vascular	LAMB1			0.836
tabib2021	skin	endothelial_vascular	IMPDH1			0.699
tabib2021	skin	endothelial_vascular	CALU			0.586
tabib2021	skin	endothelial_vascular	CEP41			1.074
tabib2021	skin	endothelial_vascular	STMP1			0.829
