species	module	degree	in_degree	out_degree	betweenness	closeness	pagerank	eigenvector	hub_score
MS4A1__pm	ssc_tier1	5	4	1	0.004515	0.092591	0.003153	0.000087	0.6584
MTMR4__endo	M2	3	2	1	0.000087	0.091654	0.001834	0.005880	-0.2124
MX_family__cyto	M1	2	2	0	0.000000	0.029056	0.000977	0.130207	-0.5637
MYC__nuc	M3	2	2	0	0.000000	0.071565	0.003323	0.000000	-0.5637
MYC_gene__nuc	M3	2	0	2	0.000000	0.071565	0.000891	0.000000	-0.5637
MyrG_SRC__cyto	M2	1	0	1	0.000000	0.098345	0.000891	0.013962	-0.9116
NBEA__cyto	M3	1	0	1	0.000000	0.076802	0.000891	0.000000	-0.9116
NBEA__nuc	M3	2	1	1	0.002857	0.085497	0.001649	0.000002	-0.4508
NCK1_NCK2__cyto	M2	1	0	1	0.000000	0.081136	0.000891	0.001405	-0.9116
NCOR_HDAC_TBL1__nuc	M3	2	2	0	0.001324	0.096287	0.001587	0.000017	-0.5114
NEDD4L__nuc	M2	1	0	1	0.000000	0.006506	0.000891	0.129815	-0.9116
NEDD8_AcM_UBE2M__cyto	M2	3	0	3	0.000496	0.078681	0.000891	0.000496	-0.1962
NEDD8_K556_K567_TGFBR2__cyto	M2	2	2	0	0.000482	0.082365	0.001710	0.000262	-0.5447
NEXT1__cyto	M3	4	2	2	0.015454	0.106582	0.002293	0.000110	0.7429
NICD1_DTX__cyto	M3	3	3	0	0.074559	0.096536	0.004620	0.000016	2.7313
NICD1_HIF1A__nuc	M3	2	2	0	0.049220	0.097353	0.001587	0.000016	1.3819
NICD1_NBEA__nuc	M3	2	2	0	0.005700	0.096349	0.002610	0.000016	-0.3384
NICD1_RBPJ_SNW1__nuc	M3	3	2	1	0.075869	0.098055	0.001587	0.000017	2.7831
NICD1__cyto	M3	5	2	3	0.215983	0.123480	0.002118	0.000680	9.0173
NICD1__nuc	M3	5	1	4	0.136980	0.110276	0.001491	0.000110	5.8944
NOS3__pm	ssc_tier1	1	0	1	0.000000	0.048979	0.000891	0.000000	-0.9116
NOTCH1_1721_1753__cyto	M3	2	2	0	0.000649	0.095184	0.002118	0.000032	-0.5381
NOTCH1_Coactivator_Complex_CDK8_CCNC__nuc	M3	10	2	8	0.019614	0.079350	0.003160	0.000001	2.9947
NOTCH1_Coactivator_Complex_HES1_Gene__nuc	M3	3	2	1	0.011342	0.079119	0.002415	0.000001	0.2325
NOTCH1_Coactivator_Complex_HES5_Gene__nuc	M3	3	2	1	0.005700	0.079035	0.002415	0.000001	0.0095
NOTCH1_Coactivator_Complex_HEY_Genes__nuc	M3	3	2	1	0.005700	0.079035	0.002415	0.000001	0.0095
NOTCH1_Coactivator_Complex_MYC_Gene__nuc	M3	3	2	1	0.005700	0.079035	0.002415	0.000001	0.0095
NOTCH1_Coactivator_Complex__nuc	M3	10	5	5	0.073924	0.088169	0.006734	0.000003	5.1414
NOTCH1_DLK1__cyto	M3	2	2	0	0.002857	0.065729	0.001775	0.000000	-0.4508
NOTCH1_DLL_JAG__cyto	M3	2	2	0	0.002857	0.065729	0.001775	0.000000	-0.4508
NOTCH1_DTX_ARRB__cyto	M3	3	2	1	0.008543	0.071547	0.002045	0.000000	0.1218
NOTCH1_DTX__cyto	M3	5	2	3	0.062810	0.078910	0.001396	0.000001	2.9627
NOTCH1_Fringe_modified_NOTCH1__cyto	M3	2	0	2	0.000029	0.005060	0.000891	0.577350	-0.5626
NOTCH1_NUMB_ITCH__cyto	M3	4	3	1	0.007247	0.065845	0.002154	0.000000	0.4185
