species_id	hgnc_symbol	uniprot	ensembl	chebi	compartment	module	taxonomy	notes
p_minus_PDGFRB_space_homo_space_and_space_heterodimers_space_dephosphorylated_space_at_space_Y1021__cyto					cytosol	M2	9606	imported from pilot_R-HSA-186797; raw name: p_minus_PDGFRB_space_homo_space_and_space_heterodimers_space_dephosphorylated_space_at_space_Y1021
N_minus_ter_space_PDGFA_minus_2_space_fragment__golgi					Golgi_space_lumen	M2	9606	imported from pilot_R-HSA-186797; raw name: N_minus_ter_space_PDGFA_minus_2_space_fragment
N_minus_ter_space_PDGF_minus_A_space_fragment__golgi					Golgi_space_lumen	M2	9606	imported from pilot_R-HSA-186797; raw name: N_minus_ter_space_PDGF_minus_A_space_fragment
MyrG_minus_SRC__cyto					cytosol	M2	9606	imported from pilot_R-HSA-186797; raw name: MyrG_minus_SRC
RAPGEF1__cyto	RAPGEF1				cytosol	M2	9606	imported from pilot_R-HSA-186797; raw name: RAPGEF1
olaratumab__def					default	M2	9606	imported from pilot_R-HSA-186797; raw name: olaratumab
PDGFRA_x_olaratumab__cyto					cytosol	M2	9606	imported from pilot_R-HSA-186797; raw name: PDGFRA:olaratumab
type_space_I_space_PDGFR_minus_binding_space_tyrosine_space_kinase_space_inhibitors__cyto					cytosol	M2	9606	imported from pilot_R-HSA-186797; raw name: type_space_I_space_PDGFR_minus_binding_space_tyrosine_space_kinase_space_inhibitors
type_space_II_space_PDGFR_minus_binding_space_tyrosine_space_kinase_space_inhibitors__cyto					cytosol	M2	9606	imported from pilot_R-HSA-186797; raw name: type_space_II_space_PDGFR_minus_binding_space_tyrosine_space_kinase_space_inhibitors
PDGFR_x_type_space_I_space_PDGFR_minus_binding_space_TKIs__cyto					cytosol	M2	9606	imported from pilot_R-HSA-186797; raw name: PDGFR:type_space_I_space_PDGFR_minus_binding_space_TKIs
PDGFR_x_type_space_II_space_PDGFR_minus_binding_space_TKIs__cyto					cytosol	M2	9606	imported from pilot_R-HSA-186797; raw name: PDGFR:type_space_II_space_PDGFR_minus_binding_space_TKIs
CBL__cyto	CBL				cytosol	M2	9606	imported from pilot_R-HSA-2173789; raw name: CBL
ATP__endo	ATP				early_space_endosome	M2	9606	imported from pilot_R-HSA-2173789; raw name: ATP
XPO1__nuc	XPO1				nucleoplasm	M2	9606	imported from pilot_R-HSA-2173789; raw name: XPO1
XPO1__cyto	XPO1				cytosol	M2	9606	imported from pilot_R-HSA-2173789; raw name: XPO1
TGFB1_x_TGFBR2_x_TGFBR1__cyto					cytosol	M2	9606	imported from pilot_R-HSA-2173789; raw name: TGFB1:TGFBR2:TGFBR1
TGFB1_x_TGFBR2_x_p_minus_TGFBR1__cyto					cytosol	M2	9606	imported from pilot_R-HSA-2173789; raw name: TGFB1:TGFBR2:p_minus_TGFBR1
TGFBR2__cyto	TGFBR2				cytosol	M2	9606	imported from pilot_R-HSA-2173789; raw name: TGFBR2
Dimeric_space_TGFB1__def					default	M2	9606	imported from pilot_R-HSA-2173789; raw name: Dimeric_space_TGFB1
SMAD3__cyto	SMAD3				cytosol	M2	9606	imported from pilot_R-HSA-2173789; raw name: SMAD3
SMAD4__cyto	SMAD4				cytosol	M2	9606	imported from pilot_R-HSA-2173789; raw name: SMAD4
Dimeric_space_TGFB1_x_TGFBR2_space_homodimer__cyto					cytosol	M2	9606	imported from pilot_R-HSA-2173789; raw name: Dimeric_space_TGFB1:TGFBR2_space_homodimer
SMAD2_3__cyto					cytosol	M2	9606	imported from pilot_R-HSA-2173789; raw name: SMAD2,3
TGFB1_x_p_minus_TGFBR_x_ZFYVE9__endo					early_space_endosome	M2	9606	imported from pilot_R-HSA-2173789; raw name: TGFB1:p_minus_TGFBR:ZFYVE9
p_minus_2S_minus_SMAD2_3_x_SMAD4__cyto					cytosol	M2	9606	imported from pilot_R-HSA-2173789; raw name: p_minus_2S_minus_SMAD2,3:SMAD4
TGFB1_x_p_minus_TGFBR_x_ZFYVE9_x_p_minus_2S_minus_SMAD2_3__endo					early_space_endosome	M2	9606	imported from pilot_R-HSA-2173789; raw name: TGFB1:p_minus_TGFBR:ZFYVE9:p_minus_2S_minus_SMAD2,3
p_minus_2S_minus_SMAD2_3__cyto					cytosol	M2	9606	imported from pilot_R-HSA-2173789; raw name: p_minus_2S_minus_SMAD2,3
Pre_minus_TGFB1_space_complex__golgi					Golgi_space_lumen	M2	9606	imported from pilot_R-HSA-2173789; raw name: Pre_minus_TGFB1_space_complex
